assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,clean_sheets_per_90,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,expected_assists,expected_assists_per_90,expected_goal_involvements,expected_goal_involvements_per_90,expected_goals,expected_goals_conceded,expected_goals_conceded_per_90,expected_goals_per_90,first_name,form,form_rank,form_rank_type,goals_conceded,goals_conceded_per_90,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,id,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,now_cost_rank,now_cost_rank_type,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,points_per_game_rank,points_per_game_rank_type,red_cards,region,saves,saves_per_90,second_name,selected_by_percent,selected_rank,selected_rank_type,special,squad_number,starts,starts_per_90,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
0,0,0,None,None,0,0,592662,None,,0,0,0,0,0.0,612,276,None,,0,3,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Tony,0.0,585,250,0,0,0,0.0,615,273,661,False,0.0,613,271,0,,None,45,470,291,0,0,None,0,,592662.jpg,0.0,618,276,0,241,0,0,Yogane,0.0,614,269,False,None,0,0,a,4,94,0.0,589,264,0,1778,17,892,11,0.0,0.0,Yogane,0
1,0,48,100,100,0,0.0,535818,None,,0,0,-1,1,32.5,247,149,None,,0,3,-0.8,-0.8,1,0.67,0.44,0.99,0.65,0.32,1.31,0.86,0.21,Simon,0.2,370,186,1,0.66,1,14.0,251,123,113,False,58.4,255,114,137,,2024-09-29T22:30:06.392264Z,54,146,87,0,0,None,0,,535818.jpg,2.5,169,71,0,54,0,0.0,Adingra,0.4,273,86,False,None,1,0.66,a,5,36,49.0,171,104,15,102492,74,126929,172,0.0,2.8,Adingra,0
0,0,0,0,0,0,0,475480,None,,0,0,0,0,0.0,571,245,None,,0,3,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Benicio,0.0,539,214,0,0,0,0.0,575,242,114,False,0.0,572,239,0,Loaned to Port Vale,2024-08-10T12:17:28.055765Z,45,412,247,0,0,None,0,,475480.jpg,0.0,579,246,0,None,0,0,Baker-Boaitey,0.0,661,298,False,None,0,0,u,5,36,0.0,544,231,0,0,0,466,2,0.0,0.0,Baker-Boaitey,0
1,2,135,100,100,3,0.47,535301,None,,0,0,0,0,96.2,116,86,None,,1,3,1.0,1.0,0,0.18,0.03,1.01,0.16,0.83,11.29,1.78,0.13,Carlos,2.0,162,72,8,1.26,1,31.8,114,66,115,False,145.4,108,36,570,,2024-10-16T12:30:06.756764Z,50,241,157,0,0,None,0,,535301.jpg,3.4,81,34,0,38,0,0.0,Baleba,0.3,315,105,False,None,7,1.11,a,5,36,76.0,117,75,27,43575,104,20027,317,0.4,5.4,Baleba,1
0,0,0,0,0,0,0,543158,None,,0,0,0,0,0.0,486,180,None,,0,2,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Valentín,0.0,444,160,0,0,0,0.0,502,180,116,False,0.0,499,180,0,Loaned to Sevilla,2024-08-23T23:00:06.122778Z,40,652,203,0,0,None,0,,543158.jpg,0.0,508,179,0,None,0,0,Barco,4.3,86,32,False,None,0,0,u,5,36,0.0,444,162,0,34254,0,1772995,1100,0.0,0.0,Barco,0
0,0,0,0,0,0,0,519324,None,,0,0,0,0,0.0,590,260,None,,0,3,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Amario,0.0,560,232,0,0,0,0.0,593,257,118,False,0.0,590,254,0,Loaned to Blackburn Rovers,2024-08-31T06:29:40.845798Z,45,442,271,0,0,None,0,,519324.jpg,0.0,597,261,0,None,0,0,Cozier-Duberry,0.0,536,215,False,None,0,0,u,5,36,0.0,566,247,0,1560,0,12246,6,0.0,0.0,Cozier-Duberry,0
0,0,0,0,0,0,0,168090,None,,0,0,-1,1,0.0,624,282,None,,0,3,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Mahmoud,0.0,606,262,0,0,0,0.0,629,281,119,False,0.0,628,280,0,Transferred to Eintracht Frankfurt,2024-08-31T06:30:37.645175Z,49,261,169,0,0,None,0,,168090.jpg,0.0,630,282,0,None,0,0,Dahoud,0.0,618,271,False,None,0,0,u,5,36,0.0,613,275,0,380,0,2819,1,0.0,0.0,Dahoud,0
0,0,104,50,50,3,0.38,83299,None,,0,0,0,0,61.0,176,43,2,,0,2,0.4,0.4,0,0.29,0.04,0.54,0.07,0.25,13.39,1.71,0.03,Lewis,1.8,175,55,10,1.28,0,21.2,194,57,120,False,133.2,130,52,705,Calf injury - 50% chance of playing,2024-10-26T20:00:07.127533Z,45,358,56,0,0,None,0,,83299.jpg,2.8,137,40,0,241,0,0.0,Dunk,5.2,76,25,False,None,8,1.02,d,5,36,18.0,257,71,22,629272,47,581471,5177,0.4,4.9,Dunk,2
0,0,31,100,100,0,0.0,474120,2,,0,0,-1,1,58.9,179,114,3,,0,3,-0.2,-0.2,0,0.16,0.17,0.33,0.35,0.17,0.73,0.78,0.18,Julio,0.8,278,137,1,1.07,0,11.2,278,138,121,False,23.4,330,153,84,,2024-08-12T14:30:04.495991Z,54,141,84,0,0,None,0,,474120.jpg,1.0,403,200,0,168,0,0.0,Enciso,0.1,469,173,False,None,0,0.0,a,5,36,31.0,220,124,7,8759,30,10480,31,0.1,1.3,Enciso,0
0,0,33,100,100,0,0.0,204214,4,,0,0,0,0,121.3,82,19,4,,0,2,-0.2,-0.2,1,0.45,0.09,0.55,0.11,0.10,10.28,2.14,0.02,Pervis,0.8,271,85,10,2.08,0,23.6,176,52,122,False,78.4,216,82,432,,2024-08-15T14:30:05.811816Z,50,205,23,0,0,None,0,,204214.jpg,0.6,433,144,0,62,0,0.0,Estupiñán,0.5,252,91,False,None,4,0.83,a,5,36,35.0,209,55,4,83199,716,55821,243,0.2,0.8,Estupiñan,2
0,2,42,100,100,0,0.0,487117,None,,0,0,0,0,2.2,375,42,None,,0,4,1.2,1.2,1,0.00,0.0,0.19,0.17,0.19,1.87,1.68,0.17,Evan,2.2,140,22,2,1.8,1,6.5,327,36,123,False,40.4,300,30,100,,2024-08-15T14:30:05.827079Z,55,125,35,0,0,None,0,,487117.jpg,2.0,230,30,0,104,0,0.0,Ferguson,0.4,291,47,False,None,1,0.9,a,5,36,23.0,238,39,12,46672,165,29611,312,0.4,2.2,Ferguson,0
0,0,21,0,0,0,0.0,243568,None,,0,0,0,0,11.9,317,184,None,,0,3,0.0,0.0,0,0.04,0.04,0.12,0.11,0.08,1.32,1.22,0.07,Billy,0.0,622,276,1,0.93,0,2.5,378,188,124,False,11.4,370,177,97,Transferred to Napoli,2024-08-31T06:42:09.507349Z,50,219,141,0,0,None,0,,243568.jpg,1.5,290,136,0,None,0,0.0,Gilmour,0.0,529,211,False,None,1,0.93,u,5,36,2.0,363,200,3,2640,0,15984,6,0.0,0.6,Gilmour,0
0,0,0,0,0,0,0,60307,None,,0,0,0,0,0.0,665,302,None,,0,3,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Pascal,0.0,657,297,0,0,0,0.0,665,302,125,False,0.0,665,302,0,Permanent transfer to Borussia Dortmund,2024-08-02T13:11:40.837259Z,65,42,23,0,0,None,0,,60307.jpg,0.0,664,302,0,None,0,0,Groß,0.0,573,239,False,None,0,0,u,5,36,0.0,665,302,0,0,0,8023,1,0.0,0.0,Gross,0
0,3,124,100,100,3,0.34,532529,6,,0,0,0,0,104.8,108,80,None,,1,3,0.5,0.5,2,0.68,0.08,1.07,0.12,0.39,14.85,1.71,0.04,Jack,1.5,207,98,12,1.38,1,26.7,150,84,126,False,101.8,183,71,783,,2024-10-26T20:00:07.145294Z,50,239,155,0,0,None,0,,532529.jpg,3.0,119,43,0,241,0,0.0,Hinshelwood,0.1,414,148,False,None,9,1.03,a,5,36,59.0,149,93,27,22984,22,15024,87,0.3,5.4,Hinshelwood,2
0,0,0,0,0,0,0,612855,None,,0,0,0,0,0.0,649,296,None,,0,3,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Ibrahim,0.0,635,284,0,0,0,0.0,651,296,127,False,0.0,650,295,0,Loaned to Feyenoord,2024-08-16T11:54:28.483822Z,50,246,160,0,0,None,0,,612855.jpg,0.0,650,296,0,None,0,0,Osman,0.0,654,293,False,None,0,0,u,5,36,0.0,645,294,0,0,0,1109,1,0.0,0.0,I.Osman,0
0,0,53,None,None,1,0.23,223434,None,,0,0,-1,1,7.8,341,110,None,,0,2,0.8,0.8,1,0.05,0.01,0.10,0.02,0.05,6.56,1.54,0.01,Igor Julio,1.8,174,54,6,1.41,0,6.8,320,104,128,False,56.4,263,97,384,,None,44,504,108,0,0,None,0,,223434.jpg,1.6,271,88,0,30,0,0.0,dos Santos de Paulo,0.1,444,160,False,None,3,0.7,a,5,36,4.0,338,110,8,4678,27,8067,23,0.4,1.8,Igor,2
0,5,87,100,100,1,0.32,475168,None,,0,0,-1,1,50.6,199,23,None,,0,4,-1.0,-1.0,0,0.26,0.08,1.16,0.37,0.90,3.96,1.27,0.29,João Pedro,0.0,646,66,2,0.64,2,24.6,166,24,129,False,98.8,186,19,280,,2024-09-26T10:30:05.986634Z,54,142,41,0,0,1,0,,475168.jpg,4.8,22,7,0,30,0,0.0,Junqueira de Jesus,6.6,64,11,False,None,3,0.96,a,5,36,97.0,92,25,19,2120843,910,3306035,2288,0.0,3.5,João Pedro,1
0,0,0,0,0,0,0,484658,None,,0,0,0,0,0.0,573,246,None,,0,3,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Kacper,0.0,541,215,0,0,0,0.0,577,243,130,False,0.0,574,240,0,Permanent transfer to Gaziantep FK,2024-07-22T09:03:00.342050Z,45,415,248,0,0,None,0,,484658.jpg,0.0,581,247,0,None,0,0,Kozłowski,0.0,670,304,False,None,0,0,u,5,36,0.0,547,232,0,0,0,89,0,0.0,0.0,Kozlowski,0
1,0,5,100,100,0,0.0,232792,None,,0,0,-1,1,10.4,327,104,None,,0,2,-0.2,-0.2,0,0.03,0.27,0.03,0.27,0.00,0.53,4.77,0.0,Tariq,0.8,259,80,2,18.0,0,3.3,363,120,131,False,22.2,335,120,10,,2024-08-15T14:30:05.840809Z,44,510,111,0,0,None,0,,232792.jpg,3.0,115,33,0,81,0,0.0,Lamptey,0.2,383,137,False,None,0,0.0,a,5,36,0.0,498,196,3,7967,57,16608,50,0.2,0.7,Lamptey,0
0,0,0,25,25,0,0,109345,None,,0,0,0,0,0.0,666,303,None,,0,3,-0.2,-0.2,0,0.00,0,0.00,0,0.00,0.00,0,0,Solly,0.0,658,298,0,0,0,0.0,666,303,132,False,0.0,666,303,0,Lack of match fitness - 25% chance of playing,2024-07-17T13:30:04.993410Z,65,43,24,0,0,None,0,,109345.jpg,0.0,665,303,0,241,0,0,March,0.0,640,285,False,None,0,0,d,5,36,0.0,666,303,0,613,1,835,3,0.0,0.0,March,0
0,0,0,0,0,0,0,550141,None,,0,0,0,0,0.0,600,269,None,,0,3,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Adrian,0.0,571,241,0,0,0,0.0,603,266,133,False,0.0,600,263,0,Has joined Vitesse Arnhem on loan for the rest of the season,2024-08-29T11:08:43.963582Z,45,453,280,0,0,None,0,,550141.jpg,0.0,607,270,0,None,0,0,Mazilu,0.0,606,264,False,None,0,0,u,5,36,0.0,576,256,0,720,0,3652,5,0.0,0.0,Mazilu,0
0,0,24,0,0,1,0.53,15157,1,,0,0,0,0,66.3,155,102,None,,0,3,0.0,0.0,0,0.15,0.08,0.31,0.17,0.16,1.98,1.05,0.09,James,0.0,619,273,1,0.53,0,10.7,287,142,134,False,28.6,323,149,169,Hamstring injury - Unknown return date,2024-08-31T21:00:04.655035Z,50,188,119,0,0,None,0,,15157.jpg,1.7,261,118,0,241,0,0.0,Milner,0.0,518,203,False,None,3,1.6,i,5,36,12.0,283,156,5,4459,3,9460,11,0.0,1.0,Milner,1
2,0,74,75,75,1,0.22,592031,5,,0,0,-2,2,129.2,72,56,None,,0,3,0.6,0.6,0,1.20,0.27,2.03,0.45,0.83,5.09,1.13,0.18,Yankuba,1.8,184,84,5,1.11,1,32.6,108,64,135,False,90.2,196,80,405,Groin Injury - 75% chance of playing,2024-10-19T22:30:05.622192Z,53,164,99,0,0,None,0,,592031.jpg,3.0,120,44,0,78,0,0.0,Minteh,0.7,227,74,False,None,5,1.11,d,5,36,107.0,84,53,21,251945,17,316724,602,0.3,4.0,Minteh,2
3,1,149,None,None,2,0.22,451340,None,,0,0,0,0,173.9,42,37,None,,0,3,1.5,1.5,2,1.73,0.19,4.08,0.45,2.35,15.08,1.65,0.26,Mitoma,2.5,120,50,13,1.42,1,61.9,24,17,136,False,159.0,82,26,825,,None,65,47,28,0,0,None,0,,451340.jpg,3.6,70,31,0,108,0,0.0,Kaoru,5.7,71,22,False,None,9,0.98,a,5,36,286.0,13,6,36,1202886,1456,1007503,3506,0.4,5.5,Mitoma,0
0,0,4,None,None,0,0.0,243505,None,,0,0,-1,1,0.0,531,223,None,,0,3,-0.8,-0.8,1,0.00,0.0,0.00,0.0,0.00,0.00,0.0,0.0,Jakub,0.2,337,162,0,0.0,0,0.0,537,220,137,False,0.0,534,217,3,,None,44,513,298,0,0,None,0,,243505.jpg,1.0,356,167,0,172,0,0.0,Moder,1.0,200,63,False,None,0,0.0,a,5,36,0.0,500,208,1,142280,470,79102,606,0.0,0.2,Moder,0
0,0,0,0,0,0,0,574402,None,,0,0,0,0,0.0,607,52,None,,0,4,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Mark,0.0,579,49,0,0,0,0.0,610,52,138,False,0.0,607,52,0,Season long to Portsmouth,2024-08-30T10:16:16.061223Z,45,462,72,0,0,None,0,,574402.jpg,0.0,613,54,0,None,0,0,O’Mahony,0.3,307,51,False,None,0,0,u,5,36,0.0,583,52,0,31158,0,61415,122,0.0,0.0,O’Mahony,0
0,0,0,0,0,0,0,445548,None,,0,0,0,0,0.0,462,165,None,,0,2,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Odeluga,0.0,417,142,0,0,0,0.0,478,165,139,False,0.0,475,165,0,Loaned to Blackpool,2024-08-31T06:26:46.238644Z,40,624,184,0,0,None,0,,445548.jpg,0.0,483,163,0,None,0,0,Offiah,0.1,468,171,False,None,0,0,u,5,36,0.0,418,145,0,2639,0,11500,17,0.0,0.0,Offiah,0
0,0,0,None,None,0,0,491598,None,,0,0,0,0,0.0,580,250,None,,0,3,-1.0,-1.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Cameron,0.0,548,220,0,0,0,0.0,583,247,140,False,0.0,580,244,0,,None,45,425,254,0,0,None,0,,491598.jpg,0.0,587,251,0,13,0,0,Peupion,0.1,501,192,False,None,0,0,a,5,36,0.0,555,236,0,4651,12,5192,14,0.0,0.0,Peupion,0
0,0,3,0,0,0,0.0,441192,None,,0,0,-1,1,0.8,392,209,None,,0,3,0.0,0.0,0,0.00,0.0,0.00,0.0,0.00,0.00,0.0,0.0,Jeremy,0.0,613,268,0,0.0,0,0.1,439,219,141,False,0.2,435,215,8,Loaned to Burnley,2024-08-31T06:27:42.007071Z,49,279,184,0,0,None,0,,441192.jpg,1.0,392,193,0,None,0,0.0,Sarmiento Morante,0.0,623,275,False,None,0,0.0,u,5,36,0.0,621,281,1,354,0,2779,1,0.0,0.2,Sarmiento,0
0,1,46,None,None,1,0.5,49262,None,,0,0,-2,2,0.0,497,43,None,,0,1,-1.0,-1.0,0,0.00,0.0,0.00,0.0,0.00,1.88,0.94,0.0,Jason,0.0,457,57,1,0.5,0,4.1,357,27,142,False,40.4,299,27,180,,None,43,530,32,0,0,None,0,,49262.jpg,4.5,29,4,0,241,3,1.5,Steele,1.3,181,26,False,None,2,1.0,a,5,36,0.0,458,35,9,284983,75,268605,522,0.0,2.1,Steele,0
0,0,0,0,0,0,0,450434,None,,0,0,0,0,0.0,660,69,None,,0,4,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Deniz,0.0,650,68,0,0,0,0.0,661,69,143,False,0.0,661,69,0,Transferred to Stuttgart,2024-08-10T12:18:55.962223Z,55,122,34,0,0,None,0,,450434.jpg,0.0,660,69,0,None,0,0,Undav,0.0,646,74,False,None,0,0,u,5,36,0.0,658,69,0,0,0,1401,3,0.0,0.0,Undav,0
1,0,111,100,100,2,0.28,469142,None,,0,0,0,0,44.4,211,52,None,,0,2,-0.2,-0.2,1,0.24,0.03,0.33,0.04,0.09,8.87,1.25,0.01,Jan Paul,0.8,261,82,8,1.13,0,20.2,204,62,144,False,138.6,120,47,639,,2024-09-29T22:30:06.452903Z,45,411,82,0,0,None,0,,469142.jpg,2.8,139,42,0,152,0,0.0,van Hecke,0.5,250,90,False,None,7,0.99,a,5,36,18.0,258,72,22,91444,157,78811,131,0.2,4.9,Van Hecke,1
0,5,124,100,100,3,0.35,111478,None,,0,0,0,0,58.2,180,45,None,,1,2,1.5,1.5,1,1.04,0.12,1.11,0.13,0.07,10.92,1.27,0.01,Joël,2.5,100,32,10,1.16,0,18.2,218,68,145,False,106.8,171,69,776,,2024-08-31T21:00:04.664470Z,45,363,58,0,0,None,0,,111478.jpg,3.3,88,21,0,152,0,0.0,Veltman,3.4,99,39,False,None,9,1.04,a,5,36,16.0,265,77,30,482832,848,264896,1056,0.6,6.7,Veltman,1
0,2,111,100,100,2,0.25,489639,None,,0,0,0,0,0.0,574,64,None,,0,1,2.8,2.8,3,0.00,0.0,0.00,0.0,0.00,14.47,1.81,0.0,Bart,3.8,45,6,13,1.62,0,20.3,202,14,146,False,202.6,50,14,720,,2024-08-12T14:30:04.523944Z,45,417,17,0,0,None,0,,489639.jpg,3.1,103,15,0,152,29,3.62,Verbruggen,1.9,141,20,False,None,8,1.0,a,5,36,0.0,549,59,25,278741,673,142481,449,0.8,5.6,Verbruggen,2
0,0,7,0,0,0,0.0,110735,None,,0,0,-2,2,1.8,378,128,None,,0,2,0.0,0.0,0,0.03,0.03,0.03,0.03,0.00,3.95,4.56,0.0,Adam,0.2,332,111,4,4.62,0,2.4,379,124,147,False,20.4,336,121,78,Hamstring injury - Expected back 23 Nov,2024-10-06T22:00:07.268394Z,43,540,128,0,0,None,0,,110735.jpg,0.3,443,146,0,241,0,0.0,Webster,0.1,477,175,False,None,2,2.31,i,5,36,2.0,351,115,1,2807,1,8834,33,0.0,0.2,Webster,0
2,13,233,100,100,4,0.43,50175,None,,0,0,4,-4,128.0,73,2,1,,1,4,6.2,6.2,5,0.33,0.04,5.13,0.56,4.80,15.38,1.65,0.52,Danny,7.2,3,2,12,1.29,6,69.5,12,4,148,True,254.8,17,4,838,,2024-10-19T17:00:05.582252Z,59,83,24,0,0,3,0,,50175.jpg,6.2,10,5,0,241,0,0.0,Welbeck,19.8,16,3,False,None,10,1.07,a,5,36,312.0,9,5,62,3023378,17817,1321989,3678,1.2,10.5,Welbeck,1
1,0,40,100,100,1,0.39,467779,None,,0,0,-2,2,41.8,219,138,None,,0,3,0.0,0.0,1,0.11,0.04,0.28,0.11,0.17,6.29,2.43,0.07,Mats,1.0,243,116,7,2.7,0,11.9,274,136,149,False,59.6,251,113,233,,2024-08-29T09:30:04.701478Z,48,321,213,0,0,None,0,,467779.jpg,1.7,259,116,0,152,0,0.0,Wieffer,0.1,486,182,False,None,2,0.77,a,5,36,19.0,250,142,12,11432,12,14891,18,0.2,2.5,Wieffer,0
0,0,5,100,100,0,0.0,513433,None,,0,0,-1,1,0.1,420,221,None,,0,3,-0.2,-0.2,1,0.01,0.03,0.01,0.03,0.00,1.04,2.67,0.0,Brajan,0.8,279,138,2,5.14,0,0.8,421,207,595,False,4.0,409,198,35,,2024-08-30T04:00:05.748621Z,54,143,85,0,0,None,0,,513433.jpg,1.0,404,201,0,80,0,0.0,Gruda,0.0,588,249,False,None,0,0.0,a,5,36,4.0,345,191,3,758,7,3095,1,0.1,0.6,Gruda,0
0,0,72,None,None,2,0.41,509416,3,,0,0,0,0,119.2,84,62,None,,0,3,0.5,0.5,2,0.79,0.16,1.40,0.28,0.61,7.21,1.46,0.12,Yasin,1.5,206,97,5,1.01,0,24.9,161,89,600,False,66.4,240,105,444,,None,50,237,153,0,0,None,0,,509416.jpg,1.8,252,112,0,206,0,0.0,Ayari,0.0,563,231,False,None,4,0.81,a,5,36,62.0,143,90,14,2656,58,2258,12,0.3,2.8,Ayari,1
0,0,0,0,0,0,0,513834,None,,0,0,0,0,0.0,645,294,None,,0,3,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Andrew,0.0,632,282,0,0,0,0.0,648,294,601,False,0.0,647,293,0,Loaned to Stoke City,2024-08-20T12:19:09.002604Z,50,238,154,0,0,None,0,,513834.jpg,0.0,647,294,0,None,0,0,Moran,0.0,657,296,False,None,0,0,u,5,36,0.0,642,292,0,24,0,494,1,0.0,0.0,Moran,0
0,0,0,0,0,0,0,472739,None,,0,0,0,0,0.0,470,37,None,,0,1,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Carl,0.0,425,51,0,0,0,0.0,486,55,615,False,0.0,483,55,0,Loaned to Hull City,2024-08-31T06:28:38.039682Z,40,632,67,0,0,None,0,,472739.jpg,0.0,491,55,0,None,0,0,Rushworth,0.1,502,64,False,None,0,0,u,5,36,0.0,426,29,0,6698,0,6213,17,0.0,0.0,Rushworth,0
3,1,104,100,100,3,0.5,463067,None,,0,0,0,0,117.4,87,64,None,,1,3,5.0,5.0,2,0.94,0.16,2.70,0.45,1.76,12.15,2.03,0.29,Georginio,6.0,10,4,10,1.67,2,37.0,80,51,618,False,119.0,152,54,538,,2024-10-12T11:00:07.563830Z,55,123,74,0,0,None,0,,463067.jpg,4.2,39,16,0,73,0,0.0,Rutter,1.5,168,50,False,None,7,1.17,a,5,36,140.0,60,35,38,182449,3430,30981,1044,1.1,6.9,Georginio,1
0,0,59,100,75,2,0.47,231416,None,,0,0,0,0,63.1,166,39,None,,0,2,3.5,2.6,6,0.31,0.07,0.75,0.17,0.44,9.39,2.2,0.1,Ferdi,4.5,30,11,8,1.87,1,14.0,249,82,628,False,59.8,250,89,385,,2024-11-01T10:30:06.967267Z,45,383,72,0,0,None,0,,231416.jpg,3.2,96,26,0,219,0,0.0,Kadioglu,0.2,343,121,False,None,5,1.17,a,5,36,17.0,262,75,19,37871,2398,18491,169,1.0,4.2,F.Kadıoğlu,1
0,0,0,75,75,0,0,219249,None,,0,0,0,0,0.0,659,300,None,,0,3,-0.8,-0.8,0,0.00,0,0.00,0,0.00,0.00,0,0,Matt,0.0,649,292,0,0,0,0.0,660,300,629,False,0.0,660,300,0,Lack of match fitness - 75% chance of playing,2024-08-28T16:30:04.729425Z,55,116,71,0,0,None,0,,219249.jpg,0.0,659,300,0,58,0,0,O'Riley,0.0,653,292,False,None,0,0,d,5,36,0.0,657,298,0,902,4,582,2,0.0,0.0,O'Riley,0
0,0,0,None,None,0,0,447720,None,,0,0,0,0,0.0,463,166,None,,0,2,-1.0,-1.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Imari,0.0,418,143,0,0,0,0.0,479,166,663,False,0.0,476,166,0,,None,40,625,185,0,0,None,0,,447720.jpg,0.0,484,164,0,241,0,0,Samuels,0.0,555,194,False,None,0,0,a,5,36,0.0,419,146,0,2872,21,772,28,0.0,0.0,Samuels,0
0,0,0,None,None,0,0,565858,None,,0,0,0,0,0.0,490,42,None,,0,1,-1.0,-1.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Killian,0.0,448,56,0,0,0,0.0,506,60,668,False,0.0,503,60,0,,None,40,656,72,0,0,None,0,,565858.jpg,0.0,512,60,0,104,0,0,Cahill,0.0,616,69,False,None,0,0,a,5,36,0.0,448,34,0,1202,17,91,8,0.0,0.0,Cahill,0
0,0,0,0,0,0,0,532605,None,,0,0,0,0,0.0,596,265,None,,0,3,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Andrey,0.0,567,237,0,0,0,0.0,599,262,150,False,0.0,596,259,0,Has joined Strasbourg on a season-long loan,2024-08-05T10:16:34.176364Z,45,449,276,0,0,None,0,,532605.jpg,0.0,603,266,0,None,0,0,Nascimento dos Santos,0.0,655,294,False,None,0,0,u,6,8,0.0,572,252,0,0,0,559,1,0.0,0.0,Andrey Santos,0
0,0,0,0,0,0,0,518620,None,,0,0,0,0,0.0,589,259,None,,0,3,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Ângelo Gabriel,0.0,559,231,0,0,0,0.0,592,256,151,False,0.0,589,253,0,Transferred to Al-Nassr,2024-09-05T10:38:18.297070Z,45,441,270,0,0,None,0,,518620.jpg,0.0,596,260,0,None,0,0,Borges Damaceno,0.2,397,141,False,None,0,0,u,6,8,0.0,565,246,0,5940,0,25131,35,0.0,0.0,Ângelo,0
0,0,11,None,None,0,0.0,242880,None,,0,0,-2,2,0.9,389,135,None,,0,2,-0.3,0.7,0,0.00,0.0,0.00,0.0,0.00,0.09,0.22,0.0,Benoît,0.2,333,112,0,0.0,0,0.9,419,142,153,False,8.2,388,137,37,,None,43,559,145,0,0,None,0,,242880.jpg,1.0,351,123,0,73,0,0.0,Badiashile,0.1,431,157,False,None,0,0.0,a,6,8,0.0,474,186,1,5501,14,11245,32,0.0,0.2,B.Badiashile,0
0,0,0,None,None,0,0,482158,None,,0,0,0,0,0.0,471,38,None,,0,1,-0.5,0.5,0,0.00,0,0.00,0,0.00,0.00,0,0,Lucas,0.0,426,52,0,0,0,0.0,487,56,154,False,0.0,484,56,0,,None,40,634,68,0,0,None,0,,482158.jpg,0.0,492,56,0,72,0,0,Bergström,0.3,324,46,False,None,0,0,a,6,8,0.0,427,30,0,12052,22,11994,34,0.0,0.0,Bergström,0
0,0,0,None,None,0,0,122074,None,,0,0,0,0,0.0,434,17,None,,0,1,-0.5,0.5,0,0.00,0,0.00,0,0.00,0.00,0,0,Marcus,0.0,388,32,0,0,0,0.0,451,36,155,False,0.0,448,36,0,,None,40,588,47,0,0,None,0,,122074.jpg,0.0,458,36,0,241,0,0,Bettinelli,0.3,293,43,False,None,0,0,a,6,8,0.0,387,9,0,8250,17,11819,38,0.0,0.0,Bettinelli,0
2,0,155,None,None,2,0.23,486672,None,,0,0,-1,1,147.4,56,46,None,,0,3,1.5,2.5,0,1.14,0.13,1.37,0.16,0.23,11.46,1.3,0.03,Moisés,2.0,157,69,11,1.25,0,35.0,92,58,157,False,183.0,62,18,795,,None,49,283,187,0,0,None,0,,486672.jpg,2.7,152,61,0,62,0,0.0,Caicedo Corozo,1.0,201,64,False,None,9,1.02,a,6,8,19.0,251,143,24,109262,401,84098,467,0.4,4.9,Caicedo,2
0,0,0,None,None,0,0,505187,None,,0,0,0,0,0.0,587,257,None,,0,3,-0.5,0.5,0,0.00,0,0.00,0,0.00,0.00,0,0,Cesare,0.0,556,228,0,0,0,0.0,590,254,158,False,0.0,587,251,0,,None,45,437,266,0,0,None,0,,505187.jpg,0.0,594,258,0,106,0,0,Casadei,0.1,421,152,False,None,0,0,a,6,8,0.0,562,243,0,12687,22,15702,65,0.0,0.0,Casadei,0
