assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,clean_sheets_per_90,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,expected_assists,expected_assists_per_90,expected_goal_involvements,expected_goal_involvements_per_90,expected_goals,expected_goals_conceded,expected_goals_conceded_per_90,expected_goals_per_90,first_name,form,form_rank,form_rank_type,goals_conceded,goals_conceded_per_90,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,id,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,now_cost_rank,now_cost_rank_type,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,points_per_game_rank,points_per_game_rank_type,red_cards,region,saves,saves_per_90,second_name,selected_by_percent,selected_rank,selected_rank_type,special,squad_number,starts,starts_per_90,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
0,0,29,50,0,2,0.71,184029,3,,0,0,-3,3,75.0,137,95,1,,0,3,0.2,0.0,0,0.74,0.26,1.20,0.42,0.46,2.93,1.04,0.16,Martin,0.0,665,301,1,0.36,0,17.0,225,111,13,False,34.4,314,145,253,Ankle injury - 50% chance of playing,2024-09-10T00:30:06.311550Z,82,11,8,0,0,2,0,,184029.jpg,2.3,192,82,0,161,0,0.0,Ødegaard,3.2,104,32,False,None,3,1.07,d,1,3,60.0,148,92,7,100364,108,1339744,447,0.0,0.9,Ødegaard,1
0,6,137,100,100,3,0.3,154561,None,,0,0,1,-1,0.0,661,72,None,,1,1,2.0,2.5,3,0.01,0.0,0.01,0.0,0.00,10.87,1.09,0.0,David,1.5,213,21,11,1.1,0,24.5,169,7,15,False,244.0,22,7,900,,2024-09-25T21:30:06.211210Z,56,104,1,0,0,None,0,,154561.jpg,4.0,50,7,0,200,32,3.2,Raya Martin,30.0,6,1,False,None,10,1.0,a,1,3,0.0,659,72,40,1668426,1302,1305911,10601,0.3,7.1,Raya,2
1,0,111,100,100,2,0.24,204480,2,,0,0,-2,2,182.9,39,34,2,,0,3,3.3,3.8,2,1.16,0.14,1.95,0.23,0.79,8.23,0.97,0.09,Declan,2.8,94,36,11,1.3,0,37.9,73,46,16,False,129.2,136,48,762,,2024-08-31T21:00:04.536499Z,63,56,34,0,0,None,0,,204480.jpg,1.9,243,109,1,241,0,0.0,Rice,2.9,111,36,False,None,9,1.06,a,1,3,73.0,123,79,17,131282,892,487246,836,0.4,2.7,Rice,2
7,10,272,100,100,3,0.36,223340,1,,0,0,1,-1,379.8,3,3,None,,2,3,7.3,7.8,2,3.41,0.41,5.83,0.7,2.42,7.22,0.88,0.29,Bukayo,6.8,5,2,8,0.97,3,107.3,2,2,17,True,329.2,7,4,740,,2024-10-12T11:00:07.105879Z,101,4,3,0,0,1,0,,223340.jpg,7.2,5,4,0,241,0,0.0,Saka,25.2,12,6,False,None,9,1.09,a,1,3,365.0,3,2,65,2478839,13506,3110798,6503,0.7,6.4,Saka,1
0,0,104,100,100,3,0.36,462424,None,,0,0,0,0,9.7,337,108,None,,0,2,0.7,1.2,2,0.31,0.04,0.31,0.04,0.00,8.23,0.99,0.0,William,0.2,372,121,9,1.08,0,13.4,260,86,18,False,119.4,151,61,749,,2024-10-19T19:30:06.564445Z,60,82,7,0,0,None,0,,462424.jpg,2.3,189,59,1,73,0,0.0,Saliba,22.9,13,4,False,None,9,1.08,a,1,3,4.0,346,112,21,728111,3133,2490520,5574,0.0,3.5,Saliba,2
0,3,165,None,None,3,0.31,167199,None,,0,0,0,0,103.5,111,82,None,,0,3,2.5,3.0,2,0.48,0.05,0.80,0.08,0.32,10.62,1.08,0.03,Thomas,2.0,159,70,11,1.12,1,30.3,122,72,20,False,168.6,71,23,882,,None,50,197,124,0,0,None,0,,167199.jpg,2.9,128,49,0,81,0,0.0,Partey,1.1,192,58,False,None,10,1.02,a,1,3,29.0,225,127,29,225332,263,161094,619,0.4,5.8,Thomas,2
0,0,0,0,0,0,0,192895,None,,0,0,-2,2,0.0,505,194,None,,0,2,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Kieran,0.0,472,183,0,0,0,0.0,520,195,21,False,0.0,517,195,0,Hamstring injury - Unknown return date,2024-08-12T14:30:04.394338Z,43,550,136,0,0,None,0,,192895.jpg,0.0,525,193,0,243,0,0,Tierney,0.0,586,200,False,None,0,0,i,1,3,0.0,469,181,0,502,1,4020,4,0.0,0.0,Tierney,0
0,0,2,0,0,0,0.0,223723,None,,0,0,-2,2,0.3,403,144,None,,0,2,0.0,0.0,0,0.00,0.0,0.18,2.7,0.18,0.04,0.6,2.7,Tomiyasu,0.2,352,118,0,0.0,0,1.0,417,141,22,False,0.4,433,147,6,Knee injury - Unknown return date,2024-10-18T16:00:06.930143Z,48,309,35,0,0,None,0,,223723.jpg,1.0,382,133,0,108,0,0.0,Takehiro,0.0,537,189,False,None,0,0.0,i,1,3,9.0,305,98,1,1163,3,6733,13,0.0,0.2,Tomiyasu,0
1,3,103,None,None,2,0.32,116216,None,,0,0,-1,1,115.1,93,70,None,,1,3,2.5,3.0,2,0.38,0.06,1.93,0.31,1.55,5.29,0.84,0.25,Leandro,2.0,170,77,8,1.27,2,37.0,81,52,23,False,125.6,142,50,567,,None,69,29,16,0,0,4,0,,116216.jpg,3.0,122,46,1,21,0,0.0,Trossard,2.4,124,41,False,None,7,1.11,a,1,3,131.0,66,38,30,315205,601,313514,2143,0.3,4.3,Trossard,0
1,0,106,100,75,3,0.45,198869,None,,0,0,-2,2,24.6,272,80,None,,0,2,1.7,1.7,1,0.14,0.02,0.25,0.04,0.11,8.76,1.31,0.02,Benjamin,1.2,232,67,6,0.89,0,14.7,246,80,24,False,102.8,178,70,604,,2024-11-01T10:30:05.992177Z,63,55,2,0,0,None,0,,198869.jpg,3.2,101,27,0,241,0,0.0,White,4.1,89,35,False,None,6,0.89,a,1,3,19.0,256,70,26,134994,324,762716,2202,0.2,4.1,White,1
