first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type
Tyrone,Mings,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,44,DEF
Kosta,Nedeljković,0,0,3,93,2,6.3,22.2,0.0,0,13,2.9,0,0,0,1.2,40,DEF
Robin,Olsen,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,45,GK
Pau,Torres,0,0,18,810,11,40.4,120.6,27.0,0,93,18.8,1,0,1,1.9,45,DEF
Jacob,Ramsey,0,2,19,507,10,119.9,84.8,100.0,0,101,30.7,0,0,1,0.3,54,MID
Morgan,Rogers,2,2,35,741,9,154.0,168.4,174.0,3,110,49.8,1,0,2,22.4,54,MID
Viljami,Sinisalo,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,GK
Lino,da Cruz Sousa,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40,DEF
Youri,Tielemans,0,3,31,803,11,306.0,208.4,59.0,5,187,57.3,1,0,2,1.5,55,MID
Ollie,Watkins,5,2,51,686,7,106.6,214.6,324.0,7,183,64.5,4,0,0,27.1,91,FWD
Amadou,Onana,2,0,27,541,8,50.6,150.0,126.0,5,119,32.8,1,0,3,5.9,50,MID
Jaden,Philogene,0,0,3,162,1,4.1,7.2,13.0,0,9,2.2,1,1,1,0.0,53,MID
Lamare,Bogarde,0,0,2,168,3,15.5,28.8,0.0,0,6,4.4,0,0,1,0.3,40,DEF
Sil,Swinkels,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40,DEF
Oliwier,Zych,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.7,40,GK
Kadan,Young,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3,45,MID
Max,Aarons,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,43,DEF
Tyler,Adams,0,0,1,33,1,0.1,0.6,0.0,0,4,0.1,0,0,1,0.0,49,MID
Jaidon,Anthony,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,45,MID
David,Brooks,0,0,3,31,1,15.6,6.6,0.0,0,17,2.2,0,0,0,0.0,49,MID
Ryan,Christie,1,0,22,625,8,115.7,115.6,63.0,0,125,29.5,3,0,4,0.2,49,MID
Lewis,Cook,1,2,31,893,12,232.0,212.4,55.0,2,174,50.0,1,0,3,0.3,50,MID
Enes,Ünal,0,0,7,135,2,27.3,10.0,47.0,0,14,7.9,1,0,1,0.0,54,FWD
Romain,Faivre,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50,MID
Hamed,Traorè,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,45,MID
James,Hill,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.4,40,DEF
Daniel,Jebbison,0,0,2,26,0,10.6,3.2,2.0,0,7,1.6,0,0,0,1.5,45,FWD
Milos,Kerkez,0,2,27,837,12,118.5,109.4,29.0,1,108,25.8,1,0,2,0.5,44,DEF
Justin,Kluivert,1,2,28,546,6,111.7,103.2,159.0,2,82,37.4,4,0,4,0.3,53,MID
Chris,Mepham,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,44,DEF
Dango,Ouattara,1,1,22,412,4,77.5,115.4,108.0,1,96,30.2,1,0,0,0.0,50,MID
Alex,Paulsen,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,GK
Philip,Billing,0,0,2,21,1,4.7,5.2,4.0,0,5,1.4,0,0,0,0.1,48,MID
Alex,Scott,0,0,11,258,3,65.5,71.0,21.0,0,54,15.8,1,0,0,0.0,48,MID
Antoine,Semenyo,4,1,41,877,12,146.1,180.8,304.0,1,170,62.7,1,0,4,7.4,56,MID
Marcos,Senesi,0,0,19,706,8,59.2,166.0,14.0,3,87,24.1,1,0,3,0.6,48,DEF
Luis,Sinisterra,1,1,19,203,3,96.3,98.4,177.0,2,75,37.2,0,0,0,0.3,50,MID
Adam,Smith,0,0,18,521,5,31.7,48.8,2.0,0,61,8.2,1,0,2,0.2,45,DEF
Marcus,Tavernier,1,2,32,778,11,294.1,170.4,212.0,2,129,67.7,2,0,2,0.3,55,MID
Mark,Travers,0,0,10,270,3,0.0,66.4,0.0,1,38,6.6,0,0,0,0.2,44,GK
Illia,Zabarnyi,0,0,22,900,12,18.2,142.8,14.0,0,107,17.6,1,0,0,0.4,44,DEF
Kepa,Arrizabalaga,0,0,17,450,7,0.0,138.2,0.0,0,65,13.8,1,0,0,0.7,45,GK
Dean,Huijsen,0,0,4,194,4,31.4,39.0,4.0,0,13,7.5,0,0,1,0.1,43,DEF
Julián,Araujo Zúñiga,0,0,7,346,7,7.9,38.0,2.0,0,8,4.9,0,0,1,0.2,44,DEF
