id,xP
1,0.0
2,2.0
3,5.0
4,3.3
5,0.0
6,4.0
7,1.7
8,1.7
9,3.7
12,3.3
13,8.0
15,4.3
16,2.3
17,12.0
18,4.3
20,4.3
21,1.0
22,0.0
23,6.3
24,0.0
25,1.7
73,1.0
186,2.7
578,3.0
597,1.0
633,2.3
638,1.0
639,1.0
657,1.0
658,1.0
659,1.0
662,1.0
665,1.0
28,1.0
29,2.0
30,0.0
31,-0.3
32,0.0
33,0.0
34,0.0
35,-0.3
36,0.5
37,0.0
38,0.5
39,-0.5
40,-0.5
41,0.0
42,0.3
43,0.0
44,0.0
45,-0.3
46,0.0
47,0.7
48,2.0
49,-0.5
50,-0.5
51,-0.3
52,0.3
53,0.0
54,3.0
55,0.0
56,0.0
57,1.5
58,2.7
233,0.4
569,0.5
598,-0.5
640,-0.5
641,-0.5
656,-0.5
679,-0.5
59,0.3
60,2.0
61,0.0
62,3.3
63,1.0
64,2.0
65,2.0
66,0.0
67,0.0
68,0.0
69,0.0
70,3.0
71,9.7
72,0.0
74,0.7
75,0.0
76,0.3
77,0.0
78,0.0
79,0.7
80,0.0
81,0.7
83,2.7
84,0.0
85,0.3
152,1.3
580,1.0
592,0.0
599,0.0
617,7.3
680,0.0
687,1.1
86,0.0
87,0.0
88,3.2
89,4.8
90,0.0
91,4.0
92,0.0
93,0.0
94,4.5
95,1.8
96,0.0
97,0.2
98,2.2
99,3.2
100,0.0
101,1.8
102,0.0
103,0.0
104,2.5
105,0.2
106,6.2
107,0.5
108,0.0
109,0.0
110,6.2
111,1.0
112,0.0
314,0.5
338,2.5
602,0.0
634,0.0
649,0.0
661,0.0
674,0.0
113,1.8
114,0.0
115,0.0
116,0.0
118,0.0
119,0.0
120,0.8
121,0.5
122,3.2
123,1.2
124,0.0
125,0.0
126,0.2
127,0.0
128,2.2
129,8.8
130,0.0
131,2.2
132,0.1
133,0.0
134,0.0
135,0.8
136,7.5
137,0.8
138,0.0
139,0.0
140,0.5
141,0.0
142,0.5
143,0.0
144,1.8
145,1.8
146,3.2
147,0.1
148,2.5
149,0.8
595,0.8
600,2.2
601,0.0
615,0.0
618,3.5
628,0.2
629,3.8
663,0.5
668,0.5
681,0.5
685,1.7
150,0.0
151,0.0
153,1.3
154,0.5
155,0.5
157,4.5
158,0.5
160,0.5
161,0.5
162,3.3
163,4.3
164,0.0
165,0.5
166,0.7
167,0.5
168,7.0
169,0.0
170,0.0
171,1.3
172,0.0
173,0.0
174,2.3
175,0.0
176,0.0
177,2.7
178,0.5
179,1.0
180,5.7
181,1.3
182,5.7
183,0.0
184,0.5
185,3.7
187,0.5
189,2.3
386,1.5
560,3.0
575,0.0
581,0.5
621,1.3
11,0.3
159,1.0
190,0.0
193,1.0
194,0.3
195,0.0
196,1.0
197,0.0
199,0.7
200,1.7
201,3.7
202,0.0
203,1.3
205,0.0
206,0.7
207,3.0
208,0.0
209,0.0
210,0.7
211,4.3
212,0.0
213,0.0
214,1.0
215,0.0
216,0.0
445,0.0
585,5.7
644,0.0
645,3.7
646,0.3
647,0.0
650,1.0
666,0.3
676,0.0
156,0.0
217,2.7
218,1.3
219,4.0
220,1.7
221,0.0
222,2.0
223,0.0
224,0.7
225,0.0
226,0.0
227,0.0
228,0.0
229,0.0
230,1.7
231,3.7
232,2.0
234,0.3
235,5.7
236,5.0
237,0.0
238,4.3
577,2.7
582,0.3
603,0.0
614,0.0
624,0.0
627,0.0
651,1.7
678,0.0
10,2.0
19,3.5
191,0.0
239,1.0
240,0.7
241,1.7
242,-0.5
243,1.0
244,0.0
245,0.0
246,0.0
247,4.3
248,2.7
249,0.3
250,0.0
251,0.3
252,2.3
253,0.0
254,0.0
255,3.0
256,0.0
257,2.7
258,-0.5
259,4.7
579,-0.2
586,0.0
604,-0.5
605,-0.5
622,1.3
690,0.7
260,0.3
261,0.0
262,0.3
263,2.0
264,2.0
265,1.0
266,0.3
267,1.7
268,5.0
269,0.0
270,0.0
271,0.0
272,0.0
273,0.0
274,4.0
275,0.2
276,0.0
277,0.3
278,2.0
279,0.0
280,0.0
281,0.7
282,1.3
283,0.0
284,0.0
359,0.0
568,3.0
583,0.0
611,4.3
619,1.7
630,1.7
631,1.0
632,0.0
117,3.0
192,3.7
198,0.3
285,1.7
286,0.0
287,0.0
288,0.0
289,0.7
290,1.7
291,0.3
292,0.0
293,1.0
294,0.0
295,0.3
296,0.0
297,0.0
298,0.7
299,1.0
300,1.7
301,0.3
302,0.0
303,0.0
304,0.0
305,0.0
306,2.3
307,0.3
308,0.0
309,0.2
501,0.7
570,0.0
606,0.0
616,0.0
635,1.0
310,0.0
311,3.0
312,0.0
313,1.0
315,0.0
316,3.3
317,0.0
318,0.0
319,0.3
320,0.7
321,3.7
322,2.0
323,3.3
324,2.0
325,6.7
326,0.5
327,3.3
328,13.3
329,2.3
330,0.0
331,0.0
332,0.0
333,0.3
334,0.0
335,5.0
336,4.7
337,0.0
339,4.3
636,0.0
660,0.0
669,0.0
688,1.1
340,-0.3
341,0.3
342,1.3
343,0.0
344,0.0
345,0.7
346,0.2
347,0.7
348,1.7
349,0.7
350,0.3
351,3.0
352,0.0
353,0.0
354,0.0
355,0.3
356,0.7
357,0.0
358,0.7
360,0.0
361,0.3
362,0.0
363,0.7
571,2.0
607,0.0
625,2.0
