id,xP
589,0.0
591,1.0
643,-1.0
654,2.0
677,-1.0
686,0.2
204,0.0
533,2.7
534,0.0
535,2.3
536,0.0
537,0.0
538,0.0
539,0.0
540,0.0
541,10.0
542,2.3
543,0.7
544,0.3
545,0.0
546,0.0
547,0.0
548,3.7
549,0.0
550,0.7
551,0.0
552,0.0
553,5.7
554,2.7
555,0.0
556,0.0
557,4.3
558,0.0
559,2.3
561,0.0
562,0.0
563,1.3
564,2.0
565,2.0
566,6.0
567,3.7
637,0.0
642,1.3
655,0.3
664,0.3
682,0.0
