name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
Carlos Soler,MID,West Ham,0.8,0,0,2,0,0.0,654,0.00,0.00,0.00,0.62,97,2,0,0.0,0.0,2024-11-02T15:00:00Z,45,16,0,0,0,0,10,0,1907,0,0,3,0.0,1,60,236,176,50,False,0
Carl Rushworth,GK,Brighton,0.0,0,0,0,0,0.0,615,0.00,0.00,0.00,0.00,94,0,0,0.0,0.0,2024-11-02T15:00:00Z,0,12,0,0,0,0,10,0,5902,0,1,2,0.0,0,-151,0,151,40,False,0
Carney Chukwuemeka,MID,Chelsea,0.5,0,0,0,0,0.0,161,0.00,0.00,0.00,0.00,95,0,0,0.0,0.0,2024-11-03T16:30:00Z,0,14,0,0,0,0,10,0,5164,0,,,0.0,0,-38,148,186,48,False,0
Cesare Casadei,MID,Chelsea,0.5,0,0,0,0,0.0,158,0.00,0.00,0.00,0.00,95,0,0,0.0,0.0,2024-11-03T16:30:00Z,0,14,0,0,0,0,10,0,13096,0,,,0.0,0,-412,493,905,45,False,0
Chadi Riad Dnanou,DEF,Crystal Palace,0.0,0,0,0,0,0.0,195,0.00,0.00,0.00,0.00,100,0,0,0.0,0.0,2024-11-02T17:30:00Z,0,20,0,0,0,0,10,0,5589,0,0,0,0.0,0,-236,15,251,43,False,0
Charlie Taylor,DEF,Southampton,0.0,0,0,0,0,0.0,475,0.00,0.00,0.00,0.00,98,0,0,0.0,0.0,2024-11-02T15:00:00Z,0,8,0,0,0,0,10,0,465295,0,0,1,0.0,0,43415,59015,15600,39,True,0
Cheick Doucouré,MID,Crystal Palace,0.0,0,0,0,0,0.0,193,0.00,0.00,0.00,0.00,100,0,0,0.0,0.0,2024-11-02T17:30:00Z,0,20,0,0,0,0,10,0,5996,0,2,2,0.0,0,-345,68,413,49,False,0
Chiedozie Ogbene,MID,Ipswich,0.0,0,0,0,0,0.0,632,0.00,0.00,0.00,0.00,93,0,0,0.0,0.0,2024-11-02T15:00:00Z,0,11,0,0,0,0,10,0,1248,0,1,1,0.0,0,-278,33,311,50,True,0
Christian Eriksen,MID,Man Utd,0.8,0,0,0,0,0.0,370,0.00,0.00,0.00,0.00,95,0,0,0.0,0.0,2024-11-03T16:30:00Z,0,6,0,0,0,0,10,0,24505,0,,,0.0,0,-751,2324,3075,54,True,0
Christian Nørgaard,MID,Brentford,2.5,0,0,0,0,0.0,101,0.00,0.00,0.00,0.00,92,0,0,0.0,0.0,2024-11-04T20:00:00Z,0,9,0,0,0,0,10,0,19333,0,,,0.0,0,2184,3980,1796,48,False,0
Christian Walton,GK,Ipswich,0.0,0,0,0,0,0.0,283,0.00,0.00,0.00,0.00,93,0,0,0.0,0.0,2024-11-02T15:00:00Z,0,11,0,0,0,0,10,0,19397,0,1,1,0.0,0,-432,178,610,44,True,0
Christopher Nkunku,MID,Chelsea,1.0,0,0,0,0,0.0,181,0.00,0.00,0.00,0.00,95,0,0,0.0,0.0,2024-11-03T16:30:00Z,0,14,0,0,0,0,10,0,282171,0,,,0.0,0,-22637,4869,27506,59,False,0
Chris Mepham,DEF,Bournemouth,0.0,0,0,0,0,0.0,72,0.00,0.00,0.00,0.00,91,0,0,0.0,0.0,2024-11-02T15:00:00Z,0,13,0,0,0,0,10,0,3473,0,1,2,0.0,0,-121,0,121,44,True,0
Chris Richards,DEF,Crystal Palace,0.0,0,0,0,0,0.0,194,0.00,0.00,0.00,0.00,100,0,0,0.0,0.0,2024-11-02T17:30:00Z,0,20,0,0,0,0,10,0,11162,0,2,2,0.0,0,-679,35,714,44,False,0
Chris Wood,FWD,Nott'm Forest,6.4,0,0,37,1,0.0,447,0.01,0.76,0.75,0.16,97,0,1,0.0,0.0,2024-11-02T15:00:00Z,78,19,0,0,0,0,10,0,1955970,1,0,3,0.0,6,341151,422436,81285,64,True,0
Cieran Slicker,GK,Ipswich,0.0,0,0,0,0,0.0,280,0.00,0.00,0.00,0.00,93,0,0,0.0,0.0,2024-11-02T15:00:00Z,0,11,0,0,0,0,10,0,79821,0,1,1,0.0,0,100,1903,1803,40,True,0
Cody Gakpo,FWD,Liverpool,4.2,0,0,35,0,0.0,321,0.14,0.22,0.08,1.00,94,1,1,0.0,0.0,2024-11-02T15:00:00Z,90,5,0,0,0,0,10,0,195124,1,1,2,0.0,6,5490,15429,9939,71,True,0
Cole Palmer,MID,Chelsea,5.0,0,0,0,0,0.0,182,0.00,0.00,0.00,0.00,95,0,0,0.0,0.0,2024-11-03T16:30:00Z,0,14,0,0,0,0,10,0,6002657,0,,,0.0,0,192933,252006,59073,110,False,0
Conor Bradley,DEF,Liverpool,1.2,0,0,4,0,0.0,313,0.00,0.00,0.00,0.00,94,0,0,0.0,0.0,2024-11-02T15:00:00Z,1,5,0,0,0,0,10,0,28651,0,1,2,0.0,1,-2408,188,2596,47,True,0
Conor Chaplin,MID,Ipswich,2.2,0,0,1,1,0.0,265,0.04,0.20,0.16,0.44,93,0,0,0.0,0.0,2024-11-02T15:00:00Z,80,11,0,0,0,0,10,0,12242,1,1,1,0.0,2,495,998,503,52,True,1
Conor Coady,DEF,Leicester,0.0,0,0,0,0,0.0,288,0.00,0.00,0.00,0.00,93,0,0,0.0,0.0,2024-11-02T15:00:00Z,0,10,0,0,0,0,10,0,32856,0,1,1,0.0,0,759,2331,1572,40,False,0
Conor Gallagher,MID,Chelsea,0.0,0,0,0,0,0.0,169,0.00,0.00,0.00,0.00,95,0,0,0.0,0.0,2024-11-03T16:30:00Z,0,14,0,0,0,0,10,0,16506,0,,,0.0,0,-266,0,266,59,False,0
Conor Townsend,DEF,Ipswich,0.2,0,0,0,0,0.0,583,0.00,0.00,0.00,0.00,93,0,0,0.0,0.0,2024-11-02T15:00:00Z,0,11,0,0,0,0,10,0,44916,0,1,1,0.0,0,69,1581,1512,40,True,0
Corrie Ndaba,DEF,Ipswich,0.0,0,0,0,0,0.0,279,0.00,0.00,0.00,0.00,93,0,0,0.0,0.0,2024-11-02T15:00:00Z,0,11,0,0,0,0,10,0,517,0,1,1,0.0,0,-17,0,17,40,True,0
Craig Dawson,DEF,Wolves,1.5,0,0,7,0,0.0,542,0.01,0.01,0.00,2.92,100,2,0,0.0,0.0,2024-11-02T17:30:00Z,79,7,0,0,0,0,10,0,18819,1,2,2,0.0,1,1378,2234,856,44,True,0
Cristian Romero,DEF,Spurs,1.3,0,0,0,0,0.0,498,0.00,0.00,0.00,0.00,99,0,0,0.0,0.0,2024-11-03T14:00:00Z,0,2,0,0,0,0,10,0,1028121,0,,,0.0,0,-72631,24202,96833,51,True,0
Crysencio Summerville,MID,West Ham,2.5,0,0,2,0,0.0,587,0.05,0.05,0.00,1.47,97,1,0,0.0,0.0,2024-11-02T15:00:00Z,45,16,0,0,0,0,10,0,53726,1,0,3,0.0,1,9403,11384,1981,57,False,0
Curtis Jones,MID,Liverpool,6.5,1,0,14,0,0.0,324,0.00,0.16,0.16,0.22,94,0,0,0.0,0.0,2024-11-02T15:00:00Z,24,5,0,0,0,0,10,0,37992,0,1,2,0.0,4,18081,21466,3385,53,True,0
Daichi Kamada,MID,Crystal Palace,1.2,0,0,18,0,0.0,205,0.20,0.37,0.17,1.39,100,2,0,0.0,0.0,2024-11-02T17:30:00Z,77,20,0,0,0,0,10,0,16109,1,2,2,0.0,2,-165,995,1160,51,False,0
Dane Scarlett,FWD,Spurs,0.0,0,0,0,0,0.0,500,0.00,0.00,0.00,0.00,99,0,0,0.0,0.0,2024-11-03T14:00:00Z,0,2,0,0,0,0,10,0,8485,0,,,0.0,0,-397,0,397,45,True,0
Dango Ouattara,MID,Bournemouth,0.1,0,0,0,0,0.0,74,0.00,0.00,0.00,0.00,91,0,0,0.0,0.0,2024-11-02T15:00:00Z,0,13,0,0,0,0,10,0,3327,0,1,2,0.0,0,-193,274,467,50,True,0
Daniel Bentley,GK,Wolves,0.0,0,0,0,0,0.0,536,0.00,0.00,0.00,0.00,100,0,0,0.0,0.0,2024-11-02T17:30:00Z,0,7,0,0,0,0,10,0,181269,0,2,2,0.0,0,-2792,1671,4463,40,True,0
Daniel Castelo Podence,MID,Wolves,0.0,0,0,0,0,0.0,562,0.00,0.00,0.00,0.00,100,0,0,0.0,0.0,2024-11-02T17:30:00Z,0,7,0,0,0,0,10,0,2587,0,2,2,0.0,0,-70,0,70,55,True,0
Daniel Iversen,GK,Leicester,0.0,0,0,0,0,0.0,294,0.00,0.00,0.00,0.00,93,0,0,0.0,0.0,2024-11-02T15:00:00Z,0,10,0,0,0,0,10,0,67008,0,1,1,0.0,0,-844,903,1747,40,False,0
Daniel Jebbison,FWD,Bournemouth,0.0,0,0,0,0,0.0,69,0.00,0.00,0.00,0.00,91,0,0,0.0,0.0,2024-11-02T15:00:00Z,0,13,0,0,0,0,10,0,165823,0,1,2,0.0,0,-17908,0,17908,45,True,0
Daniel Muñoz,DEF,Crystal Palace,2.0,0,0,-1,0,0.0,211,0.01,0.36,0.35,0.57,100,0,0,0.0,0.0,2024-11-02T17:30:00Z,56,20,0,0,0,0,10,0,182647,1,0,0,0.0,1,875,8610,7735,48,False,0
Danilo dos Santos de Oliveira,MID,Nott'm Forest,0.0,0,0,0,0,0.0,429,0.00,0.00,0.00,0.00,97,0,0,0.0,0.0,2024-11-02T15:00:00Z,0,19,0,0,0,0,10,0,1609,0,0,3,0.0,0,-41,21,62,47,True,0
Danny Ings,FWD,West Ham,2.0,0,0,0,0,0.0,523,0.00,0.00,0.00,0.00,97,0,0,0.0,0.0,2024-11-02T15:00:00Z,0,16,0,0,0,0,10,0,234090,0,0,3,0.0,0,-5536,15771,21307,50,False,0
Danny Ward,GK,Leicester,0.0,0,0,0,0,0.0,308,0.00,0.00,0.00,0.00,93,0,0,0.0,0.0,2024-11-02T15:00:00Z,0,10,0,0,0,0,10,0,240343,0,1,1,0.0,0,-2411,2992,5403,40,False,0
Danny Welbeck,FWD,Brighton,6.2,1,0,17,0,0.0,148,0.02,0.27,0.25,1.60,94,2,0,0.0,0.0,2024-11-02T15:00:00Z,90,12,0,0,0,0,10,0,2101247,1,1,2,0.0,5,19258,158026,138768,59,False,0
Dan Burn,DEF,Newcastle,3.0,0,0,20,1,0.0,395,0.00,0.00,0.00,1.11,96,0,0,0.0,0.0,2024-11-02T12:30:00Z,90,1,0,0,0,0,10,0,953563,1,0,1,0.0,6,-53871,10684,64555,44,True,0
Dara O'Shea,DEF,Ipswich,0.8,0,0,11,0,0.0,630,0.01,0.14,0.13,1.95,93,1,0,0.0,0.0,2024-11-02T15:00:00Z,90,11,0,0,0,0,10,0,90682,1,1,1,0.0,2,4156,9938,5782,40,True,0
Darwin Núñez Ribeiro,FWD,Liverpool,2.8,0,0,11,0,0.0,316,0.03,0.10,0.07,0.87,94,1,0,0.0,0.0,2024-11-02T15:00:00Z,76,5,0,0,0,0,10,0,253660,1,1,2,0.0,2,22244,32606,10362,71,True,0
David Datro Fofana,FWD,Chelsea,0.0,0,0,0,0,0.0,164,0.00,0.00,0.00,0.00,95,0,0,0.0,0.0,2024-11-03T16:30:00Z,0,14,0,0,0,0,10,0,7323,0,,,0.0,0,-202,0,202,54,False,0
David Brooks,MID,Bournemouth,-0.2,0,0,4,0,0.0,62,0.00,0.03,0.03,0.91,91,1,0,0.0,0.0,2024-11-02T15:00:00Z,13,13,0,0,0,0,10,0,1428,0,1,2,0.0,1,-20,99,119,49,True,0
David Ozoh,MID,Crystal Palace,0.0,0,0,0,0,0.0,212,0.00,0.00,0.00,0.00,100,0,0,0.0,0.0,2024-11-02T17:30:00Z,0,20,0,0,0,0,10,0,145,0,2,2,0.0,0,-2,0,2,45,False,0
David Raya Martin,GK,Arsenal,2.5,0,0,11,0,0.0,15,0.00,0.00,0.00,0.75,96,1,0,0.0,0.0,2024-11-02T12:30:00Z,90,15,0,0,0,0,10,3,3200996,1,0,1,0.0,3,-82991,36349,119340,56,False,0
Dean Henderson,GK,Crystal Palace,3.8,0,0,5,0,0.0,201,0.00,0.00,0.00,1.39,100,2,0,0.0,0.0,2024-11-02T17:30:00Z,76,20,0,0,0,0,10,2,1132023,1,1,2,0.0,1,34292,59704,25412,44,False,0
Dean Huijsen,DEF,Bournemouth,-0.8,0,0,3,0,0.0,580,0.00,0.00,0.00,0.61,91,0,0,0.0,0.0,2024-11-02T15:00:00Z,1,13,0,0,0,0,10,0,9378,0,1,2,0.0,1,-350,113,463,43,True,0
Declan Rice,MID,Arsenal,3.8,0,0,9,0,0.0,16,0.19,0.59,0.40,0.75,96,1,0,0.0,0.0,2024-11-02T12:30:00Z,90,15,0,0,0,0,10,0,313312,1,0,1,0.0,2,8893,20304,11411,63,False,0
Deivid Washington de Souza Eugênio,FWD,Chelsea,0.5,0,0,0,0,0.0,165,0.00,0.00,0.00,0.00,95,0,0,0.0,0.0,2024-11-03T16:30:00Z,0,14,0,0,0,0,10,0,15553,0,,,0.0,0,-499,383,882,50,False,0
Dejan Kulusevski,MID,Spurs,3.3,0,0,0,0,0.0,492,0.00,0.00,0.00,0.00,99,0,0,0.0,0.0,2024-11-03T14:00:00Z,0,2,0,0,0,0,10,0,396489,0,,,0.0,0,30218,70016,39798,63,True,0
Deniz Undav,FWD,Brighton,0.0,0,0,0,0,0.0,143,0.00,0.00,0.00,0.00,94,0,0,0.0,0.0,2024-11-02T15:00:00Z,0,12,0,0,0,0,10,0,548,0,1,2,0.0,0,-4,0,4,55,False,0
Destiny Udogie,DEF,Spurs,2.3,0,0,0,0,0.0,505,0.00,0.00,0.00,0.00,99,0,0,0.0,0.0,2024-11-03T14:00:00Z,0,2,0,0,0,0,10,0,310652,0,,,0.0,0,5818,20694,14876,49,True,0
Diego Carlos Santos Silva,DEF,Aston Villa,1.5,0,0,0,0,0.0,35,0.00,0.00,0.00,0.00,99,0,0,0.0,0.0,2024-11-03T14:00:00Z,0,18,0,0,0,0,10,0,49777,0,,,0.0,0,-852,2845,3697,45,False,0
Diogo Dalot Teixeira,DEF,Man Utd,1.5,0,0,0,0,0.0,369,0.00,0.00,0.00,0.00,95,0,0,0.0,0.0,2024-11-03T16:30:00Z,0,6,0,0,0,0,10,0,1082947,0,,,0.0,0,-13637,60576,74213,51,True,0
Diogo Teixeira da Silva,MID,Liverpool,0.0,0,0,0,0,0.0,317,0.00,0.00,0.00,0.00,94,0,0,0.0,0.0,2024-11-02T15:00:00Z,0,5,0,0,0,0,10,0,420208,0,1,2,0.0,0,-212143,336,212479,73,True,0
Djed Spence,DEF,Spurs,0.4,0,0,0,0,0.0,504,0.00,0.00,0.00,0.00,99,0,0,0.0,0.0,2024-11-03T14:00:00Z,0,2,0,0,0,0,10,0,7875,0,,,0.0,0,-575,16,591,44,True,0
Dominic Calvert-Lewin,FWD,Everton,2.5,0,0,6,1,0.0,220,0.00,0.09,0.09,0.43,98,0,0,0.0,0.0,2024-11-02T15:00:00Z,61,17,0,0,0,0,10,0,527876,1,0,1,0.0,2,-79429,22571,102000,60,False,0
Dominic Solanke-Mitchell,FWD,Spurs,2.7,0,0,0,0,0.0,82,0.00,0.00,0.00,0.00,99,0,0,0.0,0.0,2024-11-03T14:00:00Z,0,2,0,0,0,0,10,0,1160217,0,,,0.0,0,-239678,18408,258086,76,True,0
Dominik Szoboszlai,MID,Liverpool,2.2,0,0,6,0,0.0,336,0.04,0.04,0.00,0.78,94,1,0,0.0,0.0,2024-11-02T15:00:00Z,65,5,0,0,0,0,10,0,179190,1,1,2,0.0,2,-8039,8579,16618,64,True,0
Dwight McNeil,MID,Everton,2.6,0,0,14,0,0.0,230,0.09,0.09,0.00,0.69,98,1,0,0.0,0.0,2024-11-02T15:00:00Z,90,17,0,0,0,0,10,0,1265079,1,0,1,0.0,2,-120049,88291,208340,58,False,0
Eberechi Eze,MID,Crystal Palace,0.0,0,0,0,0,0.0,199,0.00,0.00,0.00,0.00,100,0,0,0.0,0.0,2024-11-02T17:30:00Z,0,20,0,0,0,0,10,0,1208482,0,1,1,0.0,0,-203154,42314,245468,67,False,0
Eddie Nketiah,FWD,Crystal Palace,1.5,0,0,9,0,0.0,11,0.06,0.14,0.08,1.39,100,2,0,0.0,0.0,2024-11-02T17:30:00Z,77,20,0,0,0,0,10,0,78624,1,1,2,0.0,2,-12880,2608,15488,59,False,0
Ederson Santana de Moraes,GK,Man City,3.5,0,0,12,0,0.0,347,0.00,0.00,0.00,1.77,91,2,0,0.0,0.0,2024-11-02T15:00:00Z,90,3,0,0,0,0,10,4,982639,1,1,2,0.0,2,19424,42786,23362,55,False,0
Edson Álvarez Velázquez,MID,West Ham,0.5,0,0,-7,0,0.0,511,0.01,0.01,0.00,1.33,97,3,0,0.0,0.0,2024-11-02T15:00:00Z,46,16,0,0,0,1,10,0,14003,1,0,3,0.0,-2,347,1004,657,50,False,0
Elkan Baggott,DEF,Ipswich,0.0,0,0,0,0,0.0,261,0.00,0.00,0.00,0.00,93,0,0,0.0,0.0,2024-11-02T15:00:00Z,0,11,0,0,0,0,10,0,2042,0,1,1,0.0,0,-67,0,67,40,True,0
Elliot Anderson,MID,Nott'm Forest,2.2,1,0,22,0,0.0,423,0.28,0.28,0.00,0.08,97,0,0,0.0,0.0,2024-11-02T15:00:00Z,27,19,0,0,0,0,10,0,25557,0,0,3,0.0,3,3385,5608,2223,50,True,1
Emerson Leite de Souza Junior,DEF,Spurs,0.0,0,0,0,0,0.0,487,0.00,0.00,0.00,0.00,99,0,0,0.0,0.0,2024-11-03T14:00:00Z,0,2,0,0,0,0,10,0,1061,0,,,0.0,0,-17,0,17,45,True,0
Emerson Palmieri dos Santos,DEF,West Ham,1.0,0,0,-2,0,0.0,520,0.15,0.15,0.00,1.73,97,3,0,0.0,0.0,2024-11-02T15:00:00Z,78,16,0,0,0,0,10,0,57526,1,0,3,0.0,1,-897,1432,2329,44,False,0
Emile Smith Rowe,MID,Fulham,2.0,0,0,0,0,0.0,19,0.00,0.00,0.00,0.00,92,0,0,0.0,0.0,2024-11-04T20:00:00Z,0,4,0,0,0,0,10,0,2874430,0,,,0.0,0,123592,228632,105040,57,True,0
Emiliano Buendía Stati,MID,Aston Villa,-0.3,0,0,0,0,0.0,31,0.00,0.00,0.00,0.00,99,0,0,0.0,0.0,2024-11-03T14:00:00Z,0,18,0,0,0,0,10,0,9432,0,,,0.0,0,-309,293,602,53,False,0
Emiliano Martínez Romero,GK,Aston Villa,4.3,0,0,0,0,0.0,47,0.00,0.00,0.00,0.00,99,0,0,0.0,0.0,2024-11-03T14:00:00Z,0,18,0,0,0,0,10,0,1462663,0,,,0.0,0,-16544,42410,58954,50,False,0
Emil Krafth,DEF,Newcastle,-1.0,0,0,0,0,0.0,405,0.00,0.00,0.00,0.00,96,0,0,0.0,0.0,2024-11-02T12:30:00Z,0,1,0,0,0,0,10,0,14435,0,0,1,0.0,0,-606,76,682,44,True,0
Emmanuel Dennis,FWD,Nott'm Forest,0.0,0,0,0,0,0.0,430,0.00,0.00,0.00,0.00,97,0,0,0.0,0.0,2024-11-02T15:00:00Z,0,19,0,0,0,0,10,0,32284,0,0,3,0.0,0,-1538,1822,3360,49,True,0
Endo Wataru,MID,Liverpool,1.8,0,0,4,0,0.0,320,0.00,0.00,0.00,0.12,94,0,0,0.0,0.0,2024-11-02T15:00:00Z,13,5,0,0,0,0,10,0,16053,0,1,2,0.0,1,-83,826,909,47,True,0
Enes Ünal,FWD,Bournemouth,0.0,0,0,0,0,0.0,65,0.00,0.00,0.00,0.91,91,1,0,0.0,0.0,2024-11-02T15:00:00Z,13,13,0,0,0,0,10,0,5183,0,1,2,0.0,1,-9,697,706,54,True,0
Enso González,MID,Wolves,0.0,0,0,0,0,0.0,547,0.00,0.00,0.00,0.00,100,0,0,0.0,0.0,2024-11-02T17:30:00Z,0,7,0,0,0,0,10,0,2792,0,2,2,0.0,0,-140,83,223,45,True,0
Enzo Barrenechea,MID,Aston Villa,0.0,0,0,0,0,0.0,30,0.00,0.00,0.00,0.00,99,0,0,0.0,0.0,2024-11-03T14:00:00Z,0,18,0,0,0,0,10,0,2288,0,,,0.0,0,-57,0,57,49,False,0
Enzo Fernández,MID,Chelsea,1.5,0,0,0,0,0.0,168,0.00,0.00,0.00,0.00,95,0,0,0.0,0.0,2024-11-03T16:30:00Z,0,14,0,0,0,0,10,0,126360,0,,,0.0,0,-7609,2868,10477,48,False,0
Eric da Silva Moreira,MID,Nott'm Forest,0.2,0,0,3,0,0.0,428,0.00,0.00,0.00,0.00,97,0,0,0.0,0.0,2024-11-02T15:00:00Z,1,19,0,0,0,0,10,0,7436,0,0,3,0.0,1,-157,343,500,45,True,0
Erling Haaland,FWD,Man City,4.0,0,0,-5,0,0.0,351,0.03,1.07,1.04,1.77,91,2,0,0.0,0.0,2024-11-02T15:00:00Z,90,3,0,0,0,0,10,0,7679947,1,1,2,0.0,2,-178318,39141,217459,154,False,0
Ethan Brierley,MID,Brentford,0.0,0,0,0,0,0.0,87,0.00,0.00,0.00,0.00,92,0,0,0.0,0.0,2024-11-04T20:00:00Z,0,9,0,0,0,0,10,0,9313,0,,,0.0,0,-242,317,559,45,False,0
Ethan Nwaneri,MID,Arsenal,1.8,0,0,2,0,0.0,12,0.01,0.04,0.03,0.23,96,0,0,0.0,0.0,2024-11-02T12:30:00Z,29,15,0,0,0,0,10,0,34690,0,0,1,0.0,1,1700,3978,2278,45,False,0
Ethan Pinnock,DEF,Brentford,3.8,0,0,0,0,0.0,104,0.00,0.00,0.00,0.00,92,0,0,0.0,0.0,2024-11-04T20:00:00Z,0,9,0,0,0,0,10,0,133001,0,,,0.0,0,6388,23097,16709,45,False,0
Ethan Wheatley,FWD,Man Utd,-0.5,0,0,0,0,0.0,648,0.00,0.00,0.00,0.00,95,0,0,0.0,0.0,2024-11-03T16:30:00Z,0,6,0,0,0,0,10,0,239481,0,,,0.0,0,-803,24093,24896,45,True,0
Evan Ferguson,FWD,Brighton,1.2,0,0,3,0,0.0,123,0.00,0.00,0.00,0.00,94,0,0,0.0,0.0,2024-11-02T15:00:00Z,2,12,0,0,0,0,10,0,37644,0,1,2,0.0,1,69,4576,4507,55,False,0
Ezri Konsa Ngoyo,DEF,Aston Villa,0.3,0,0,0,0,0.0,44,0.00,0.00,0.00,0.00,99,0,0,0.0,0.0,2024-11-03T14:00:00Z,0,18,0,0,0,0,10,0,1170636,0,,,0.0,0,-80501,15386,95887,45,False,0
Fabian Schär,DEF,Newcastle,2.0,0,0,22,1,0.0,415,0.02,0.08,0.06,1.11,96,0,0,0.0,0.0,2024-11-02T12:30:00Z,90,1,0,0,0,0,10,0,115932,1,0,1,0.0,5,-292,8590,8882,54,True,1
Facundo Buonanotte,MID,Leicester,5.0,0,0,14,0,0.0,117,0.08,0.34,0.26,0.99,93,1,0,0.0,0.0,2024-11-02T15:00:00Z,90,10,0,0,0,0,10,0,337772,1,1,1,0.0,1,91153,110647,19494,51,False,1
Facundo Pellistri Rebollo,MID,Man Utd,0.0,0,0,0,0,0.0,384,0.00,0.00,0.00,0.00,95,0,0,0.0,0.0,2024-11-03T16:30:00Z,0,6,0,0,0,0,10,0,872,0,,,0.0,0,-20,0,20,50,True,0
Federico Chiesa,MID,Liverpool,0.0,0,0,0,0,0.0,636,0.00,0.00,0.00,0.00,94,0,0,0.0,0.0,2024-11-02T15:00:00Z,0,5,0,0,0,0,10,0,17360,0,1,2,0.0,0,-1496,132,1628,68,True,0
Felipe Rodrigues da Silva,DEF,Nott'm Forest,0.8,0,0,0,0,0.0,653,0.00,0.00,0.00,0.00,97,0,0,0.0,0.0,2024-11-02T15:00:00Z,0,19,0,0,0,0,10,0,2294,0,0,3,0.0,0,102,249,147,45,True,0
Ferdi Kadioglu,DEF,Brighton,2.6,0,0,12,0,0.0,628,0.08,0.30,0.22,1.60,94,2,1,0.0,0.0,2024-11-02T15:00:00Z,86,12,0,0,0,0,10,0,22631,1,1,2,0.0,6,928,3500,2572,45,False,1
Filip Jørgensen,GK,Chelsea,0.5,0,0,0,0,0.0,581,0.00,0.00,0.00,0.00,95,0,0,0.0,0.0,2024-11-03T16:30:00Z,0,14,0,0,0,0,10,0,21439,0,,,0.0,0,-669,146,815,43,False,0
Filip Marschall,GK,Aston Villa,0.0,0,0,0,0,0.0,46,0.00,0.00,0.00,0.00,99,0,0,0.0,0.0,2024-11-03T14:00:00Z,0,18,0,0,0,0,10,0,108,0,,,0.0,0,0,0,0,40,False,0
Flynn Downes,MID,Southampton,1.5,0,0,13,1,0.0,518,0.19,0.19,0.00,1.47,98,0,0,0.0,0.0,2024-11-02T15:00:00Z,90,8,0,0,0,0,10,0,5378,1,0,1,0.0,3,-64,260,324,48,True,0
Francisco Evanilson de Lima Barbosa,FWD,Bournemouth,4.2,0,0,32,1,0.0,617,0.00,0.48,0.48,0.89,91,0,1,0.0,0.0,2024-11-02T15:00:00Z,76,13,0,0,0,0,10,0,58243,1,1,2,0.0,6,-2018,8092,10110,59,True,0
Francisco Jorge Tomás Oliveira,MID,Wolves,0.0,0,0,0,0,0.0,537,0.00,0.00,0.00,0.00,100,0,0,0.0,0.0,2024-11-02T17:30:00Z,0,7,0,0,0,0,10,0,11077,0,2,2,0.0,0,-632,0,632,45,True,0
Franco Umeh-Chibueze,MID,Crystal Palace,0.0,0,0,0,0,0.0,644,0.00,0.00,0.00,0.00,100,0,0,0.0,0.0,2024-11-02T17:30:00Z,0,20,0,0,0,0,10,0,2926,0,2,2,0.0,0,-38,171,209,45,False,0
Frank Onyeka,MID,Brentford,0.0,0,0,0,0,0.0,102,0.00,0.00,0.00,0.00,92,0,0,0.0,0.0,2024-11-04T20:00:00Z,0,9,0,0,0,0,10,0,1692,0,,,0.0,0,-42,0,42,49,False,0
Fraser Forster,GK,Spurs,0.5,0,0,0,0,0.0,488,0.00,0.00,0.00,0.00,99,0,0,0.0,0.0,2024-11-03T14:00:00Z,0,2,0,0,0,0,10,0,21736,0,,,0.0,0,-365,228,593,44,True,0
Freddie Ladapo,FWD,Ipswich,0.0,0,0,0,0,0.0,276,0.00,0.00,0.00,0.00,93,0,0,0.0,0.0,2024-11-02T15:00:00Z,0,11,0,0,0,0,10,0,83917,0,1,1,0.0,0,-7720,0,7720,45,True,0
Fábio Ferreira Vieira,MID,Arsenal,0.0,0,0,0,0,0.0,1,0.00,0.00,0.00,0.00,96,0,0,0.0,0.0,2024-11-02T12:30:00Z,0,15,0,0,0,0,10,0,1232,0,0,1,0.0,0,-9,0,9,54,False,0
Fábio Freitas Gouveia Carvalho,MID,Brentford,2.0,0,0,0,0,0.0,314,0.00,0.00,0.00,0.00,92,0,0,0.0,0.0,2024-11-04T20:00:00Z,0,9,0,0,0,0,10,0,138417,0,,,0.0,0,-15094,6671,21765,48,False,0
Fábio Silva,FWD,Wolves,0.0,0,0,0,0,0.0,545,0.00,0.00,0.00,0.00,100,0,0,0.0,0.0,2024-11-02T17:30:00Z,0,7,0,0,0,0,10,0,12189,0,2,2,0.0,0,-558,0,558,50,True,0
Gabriel dos Santos Magalhães,DEF,Arsenal,1.9,0,0,9,0,0.0,3,0.10,0.10,0.00,0.75,96,1,0,0.0,0.0,2024-11-02T12:30:00Z,90,15,0,0,0,0,10,0,2413799,1,0,1,0.0,2,-434195,27273,461468,62,False,0
Gabriel Fernando de Jesus,FWD,Arsenal,1.8,0,0,0,0,0.0,2,0.01,0.01,0.00,0.21,96,0,0,0.0,0.0,2024-11-02T12:30:00Z,19,15,0,0,0,0,10,0,98901,0,0,1,0.0,1,-4233,2012,6245,68,False,0
