id,xP
1,0.0
2,1.8
3,1.9
4,4.2
5,0.0
6,1.8
7,1.5
8,1.5
9,3.8
12,1.8
13,0.0
15,2.5
16,3.8
17,7.8
18,1.2
20,3.0
21,0.0
22,0.0
23,3.0
24,1.7
25,1.2
73,1.0
186,1.5
578,0.0
597,1.2
633,4.0
638,1.0
639,1.0
657,1.0
658,1.0
659,1.0
662,1.0
665,1.0
28,1.5
29,0.0
30,0.0
31,-0.3
32,1.7
33,0.0
34,0.0
35,1.5
36,4.3
37,0.0
38,0.3
39,-0.5
40,-0.5
41,0.0
42,-0.3
43,0.0
44,0.3
45,0.0
46,0.0
47,4.3
48,0.3
49,-0.5
50,-0.5
51,-0.5
52,2.0
53,1.0
54,2.0
55,0.0
56,0.0
57,2.5
58,2.5
233,0.0
569,-0.3
598,-0.5
640,-0.5
641,-0.5
656,-0.5
59,-1.0
60,-0.8
61,0.0
62,-0.2
63,2.0
64,1.2
65,0.0
66,0.0
67,0.0
68,-1.0
69,0.0
70,3.8
71,3.2
72,0.0
74,0.1
75,0.0
76,-1.0
77,0.0
78,2.0
79,2.5
80,0.0
81,0.5
83,1.5
84,1.0
85,2.0
152,0.0
580,-0.8
592,-0.8
599,-1.0
617,4.2
86,0.0
87,0.0
88,3.0
89,4.2
90,0.0
91,1.8
92,0.0
93,0.0
94,2.8
95,0.2
96,0.0
97,0.2
98,3.0
99,6.2
100,0.0
101,2.5
102,0.0
103,0.0
104,3.8
105,1.5
106,1.2
107,0.0
108,0.0
109,0.0
110,2.8
111,0.5
112,0.0
314,2.0
338,0.8
602,0.0
634,0.0
649,0.0
661,0.0
113,-0.8
114,0.0
115,1.0
116,0.0
118,0.0
119,0.0
120,0.4
121,-0.2
122,-0.2
123,1.2
124,0.0
125,0.0
126,0.5
127,0.0
128,0.8
129,-1.0
130,0.0
131,-0.2
132,-0.2
133,0.0
134,0.0
135,0.6
136,1.5
137,-0.8
138,0.0
139,0.0
140,-1.0
141,0.0
142,-1.0
143,0.0
144,-0.2
145,1.5
146,2.8
147,0.0
148,6.2
149,0.0
595,-0.2
600,0.5
601,0.0
615,0.0
618,5.0
628,2.6
629,-0.8
663,-1.0
668,-1.0
150,0.0
151,0.0
153,0.7
154,0.5
155,0.5
157,2.5
158,0.5
160,0.5
161,0.5
162,1.5
163,1.0
164,0.0
165,0.5
166,0.5
167,0.5
168,1.5
169,0.0
170,0.0
171,1.7
172,1.0
173,0.0
174,1.7
175,0.0
176,0.0
177,3.7
178,0.5
179,1.0
180,4.7
181,1.0
182,5.0
183,0.0
184,0.5
185,2.3
187,0.5
189,1.0
386,0.0
560,2.0
575,0.0
581,0.5
621,0.7
11,1.5
159,4.8
190,0.0
193,0.0
194,0.0
195,0.0
196,1.5
197,0.0
199,0.0
200,2.8
201,3.8
202,0.0
203,1.5
205,1.2
206,0.0
207,3.0
208,0.0
209,0.0
210,2.5
211,2.0
212,0.0
213,0.0
214,0.2
215,0.0
216,0.0
445,0.0
585,1.8
644,0.0
645,0.0
646,0.2
647,0.0
650,2.5
666,0.0
156,0.0
217,1.9
218,2.5
219,1.0
220,2.5
221,0.5
222,2.5
223,0.0
224,2.7
225,0.0
226,0.0
227,0.5
228,6.3
229,0.0
230,2.6
231,3.3
232,4.3
234,0.5
235,6.7
236,4.5
237,0.0
238,5.5
577,1.3
582,0.5
603,0.5
614,0.0
624,0.5
627,0.5
651,1.7
10,1.5
19,2.0
191,-0.2
239,1.8
240,2.8
241,0.5
242,0.0
243,0.5
244,0.2
245,0.0
246,0.0
247,3.8
248,2.5
249,0.0
250,0.0
251,1.8
252,3.5
253,0.0
254,0.2
255,1.0
256,0.0
257,1.0
258,0.0
259,0.5
579,0.0
586,0.2
604,0.0
605,0.0
622,1.5
260,0.0
261,0.0
262,0.0
263,0.8
264,1.5
265,2.2
266,0.0
267,2.8
268,3.8
269,0.0
270,0.0
271,0.0
272,3.2
273,0.0
274,1.8
275,0.4
276,0.0
277,0.0
