id,xP
278,1.7
279,0.0
280,0.0
281,0.0
282,0.0
283,0.0
284,0.5
359,1.2
568,2.2
583,0.2
611,3.0
619,0.5
630,0.8
631,1.2
632,0.0
117,5.0
192,3.5
198,0.2
285,0.2
286,0.0
287,0.0
288,0.0
289,0.0
290,0.5
291,2.5
292,0.0
293,3.0
294,0.0
295,3.0
296,1.5
297,0.0
298,1.8
299,0.2
300,2.0
301,2.2
302,0.5
303,0.0
304,0.0
305,0.0
306,5.2
307,0.5
308,0.0
309,2.2
501,1.0
570,1.7
606,0.0
616,0.0
635,1.0
310,0.0
311,4.2
312,0.0
313,1.2
315,0.0
316,2.8
317,0.0
318,0.0
319,0.0
320,1.8
321,4.2
322,1.5
323,3.2
324,6.5
325,2.5
326,3.2
327,3.0
328,9.0
329,1.5
330,1.0
331,1.0
332,0.0
333,1.0
334,0.0
335,2.0
336,2.2
337,3.2
339,6.5
636,0.0
660,1.2
669,1.0
340,2.4
341,1.2
342,4.2
343,0.0
344,1.0
345,0.0
346,0.0
347,3.5
348,3.8
349,0.0
350,5.8
351,4.0
352,0.0
353,0.0
354,6.2
355,4.2
356,3.5
357,1.0
358,1.0
360,0.0
361,2.6
362,3.8
363,0.0
571,2.1
607,1.0
625,3.5
626,0.0
364,-0.3
365,-0.1
366,2.0
367,-0.5
368,2.7
369,1.5
370,0.8
371,2.0
372,3.3
373,0.0
374,-0.5
375,2.5
376,0.0
377,-0.1
378,0.0
379,-0.1
380,0.3
381,0.0
382,-0.1
383,1.7
384,0.0
385,1.7
387,0.0
389,1.0
572,-0.1
593,0.3
594,0.5
613,-0.5
648,-0.5
652,-0.3
667,-0.5
670,-0.5
390,-1.0
391,0.0
392,0.8
393,0.0
394,1.5
395,3.0
396,-1.0
398,1.2
399,3.0
400,-1.0
401,2.5
402,0.4
403,1.5
404,-0.5
405,-1.0
406,-1.0
407,0.0
408,0.0
409,1.5
410,0.2
411,-1.0
412,-1.0
413,3.0
414,-1.0
415,2.0
416,-0.2
417,0.5
418,0.0
419,0.0
420,0.2
421,0.0
574,0.0
590,-0.5
26,4.5
422,5.5
423,2.2
424,0.8
425,0.0
426,0.0
427,0.0
428,0.2
429,0.0
430,0.0
431,1.8
432,2.2
433,0.6
434,3.8
435,0.0
436,4.5
437,0.5
438,0.0
439,0.0
440,0.0
441,0.0
442,0.0
443,6.2
444,0.0
446,0.0
447,6.4
448,0.0
449,4.0
531,0.0
573,4.5
596,0.8
620,0.8
653,0.8
14,3.0
27,4.5
188,-0.3
397,-0.8
450,0.0
451,-0.5
452,2.7
453,1.3
454,0.0
455,1.5
456,-0.5
457,-0.3
458,0.0
459,0.0
460,-0.5
461,1.7
462,0.0
463,-0.3
464,-0.5
465,0.0
466,-0.5
467,1.3
468,0.0
469,-0.5
470,0.3
471,0.0
472,1.5
473,0.0
474,2.0
475,0.0
476,2.5
477,-0.5
515,-0.5
518,1.5
584,-0.5
608,0.3
623,2.0
82,2.7
478,0.0
479,0.5
480,1.5
481,0.5
482,3.7
483,0.0
484,0.5
485,0.0
486,0.5
487,0.0
488,0.5
489,0.7
490,0.0
491,3.0
492,3.3
493,0.0
494,4.5
495,1.7
496,0.5
497,0.7
498,1.3
499,2.0
500,0.0
502,0.0
503,1.9
504,0.4
505,2.3
506,0.0
507,0.0
508,2.0
509,1.7
510,0.5
609,0.5
610,1.3
612,0.0
388,1.2
511,0.5
512,5.8
513,0.2
514,5.8
516,0.0
517,0.2
519,0.0
520,1.0
521,1.2
522,0.0
523,2.0
524,1.2
525,0.0
526,0.2
527,2.5
528,0.5
529,0.0
530,1.0
532,0.0
576,0.2
587,2.5
588,1.5
589,0.0
591,1.0
643,0.0
654,0.8
204,0.5
533,4.5
534,0.0
535,1.5
536,0.0
537,0.0
538,0.0
539,0.0
540,0.0
541,6.2
542,1.5
543,0.0
544,2.0
545,0.0
546,0.0
547,0.0
548,1.8
549,0.0
550,0.0
551,0.0
552,0.0
553,3.0
554,1.5
555,0.0
556,0.0
557,1.1
558,0.0
559,2.0
561,0.0
562,0.0
563,0.2
564,1.0
565,0.5
566,5.5
567,0.5
637,0.0
642,0.8
655,0.8
664,0.0
